Informazioni cronologiche,Quali colori ti piacciono di più quando scegli un outfit?,"Preferisci outfit adatti a una stagione specifica? Se sì, quale?",Per quale occasione?,Quali sono i tipi di abbigliamento che preferisci?,Quanto è importante per te che un outfit sia comodo rispetto a essere alla moda?,Quali di questi outfit corrisponde al tuo?,Sei un maschio o una femmina?
05/01/2024 22.02.27,"Beige, Bianco",Inverno,Svago,Minimalista,Stile,maglia e pantalone,Femmina
05/01/2024 22.25.04,"Blu, Beige",Inverno,Svago,Streetwear,Comodità,felpa e pantalone,Femmina
05/01/2024 22.27.32,"Verde, Viola",Inverno,Svago,Casual,Comodità,felpa e pantalone,Maschio
05/01/2024 22.33.05,"Giallo, Bianco",Primavera,Svago,Streetwear,Comodità,felpa e pantalone,Maschio
05/01/2024 22.37.55,"Nero, Viola",Autunno,Occasione formale,Formale,Stile,giacca e pantalone,Femmina
05/01/2024 22.44.51,"Verde, Beige",Autunno,Università/Scuola,Casual,Comodità,maglia e  pantalone,Femmina
05/01/2024 22.47.58,"Verde, Lilla",Primavera,Cerimonia,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 22.51.40,"Azzurro, Marrone",Primavera,Svago,Elegante,Stile,vestito,Femmina
05/01/2024 22.54.03,"Giallo, Azzurro",Estate,Svago,Sportivo,Comodità,maglia e pantalone corto,Maschio
05/01/2024 22.55.10,"Arancione, Beige",Estate,Cerimonia,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 22.56.55,"Rosa, Nero",Autunno,Università/Scuola,Casual,Stile,maglia e  pantalone,Femmina
05/01/2024 22.58.15,"Verde, Rosso",Inverno,Lavoro,Sportivo,Comodità,maglia e pantalone,Femmina
05/01/2024 23.00.13,"Rosso, Nero",Estate,Svago,Elegante,Stile,maglia e  pantalone,Femmina
05/01/2024 23.01.18,"Giallo, Lilla",Primavera,Lavoro,Casual,Stile,giacca e pantalone,Femmina
05/01/2024 23.02.30,"Blu, Arancione",Primavera,Svago,Streetwear,Comodità,giacca e pantalone,Maschio
05/01/2024 23.06.55,"Blu, Viola",Primavera,Cerimonia,Elegante,Stile,vestito,Femmina
05/01/2024 23.08.43,"Verde, Blu",Autunno,Università/Scuola,Minimalista,Stile,giacca e pantalone,Maschio
05/01/2024 23.10.29,"Arancione, Beige",Estate,Lavoro,Casual,Comodità,maglia e  pantalone,Maschio
05/01/2024 23.11.33,"Nero, Arancione",Inverno,Palestra,Sportivo,Comodità,felpa e pantalone,Maschio
05/01/2024 23.12.47,"Blu, Nero",Primavera,Università/Scuola,Streetwear,Comodità,giacca e pantalone,Maschio
05/01/2024 23.14.43,"Verde, Marrone",Inverno,Università/Scuola,Casual,Stile,maglia e gonna,Femmina
05/01/2024 23.18.09,"Rosa, Nero",Estate,Svago,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 23.19.21,"Rosa, Grigio",Primavera,Cerimonia,Elegante,Stile,giacca e pantalone,Maschio
